Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
02_04_2026_14_30,22690.3,24141.2,1307.65,11442.7,30517.8,
02_04_2026_14_35,22630.8,24091.8,1304.45,11414.9,30478.6,
02_04_2026_14_40,22584.6,23996.6,1298.6,11384.8,30397.1,
02_04_2026_14_45,22615.5,24027.8,1299.5,11405.8,30391.9,
02_04_2026_14_50,22659.1,24061.7,1300.25,11444.7,30443.6,
02_04_2026_14_55,22658.3,24050,1299.95,11440.3,30446.6,
02_04_2026_15_00,22689.8,24071.2,1304.6,11441,30459.1,
02_04_2026_15_05,22746.7,24136.8,1310,11473,30457.6,
02_04_2026_15_10,22760.4,24106.6,1307.7,11470.4,30497.6,
02_04_2026_15_15,22717.7,24059.8,1304.6,11441.2,30444.2,
02_04_2026_15_20,22690.4,24075.1,1302.25,11447.5,30374.9,
02_04_2026_15_25,22700.7,24070.7,1301.1,11444.3,30364.7,
06_04_2026_09_15,22666.1,23993.1,1293,11473.7,30677.7,
06_04_2026_09_20,22653.6,24010.5,1296.1,11503.6,30786.2,
06_04_2026_09_25,22609.1,24048.2,1291,11515,30680.8,
06_04_2026_09_30,22681.1,24210.4,1298.1,11561.7,30623.7,
06_04_2026_09_35,22704.3,24258.7,1303.6,11591.2,30587.3,
06_04_2026_09_40,22620.2,24192,1302.6,11581.4,30561.8,
06_04_2026_09_45,22589.9,24168.8,1299.05,11507.8,30494.5,
06_04_2026_09_50,22573,24136.1,1296.2,11469.6,30521.5,
06_04_2026_09_55,22569.3,24089.3,1294.5,11469.7,30571.2,
06_04_2026_10_00,22589.6,24106.2,1295.45,11479.2,30572.2,
06_04_2026_10_05,22614.9,24166.7,1296.05,11493.7,30634.7,
06_04_2026_10_10,22654.8,24201.2,1297.9,11529.2,30647.2,
06_04_2026_10_15,22638.6,24154.3,1298.25,11511.7,30586.1,
06_04_2026_10_20,22640.6,24126,1298.95,11509.5,30552.3,
06_04_2026_10_25,22634.4,24087,1299.4,11508.9,30586.6,
06_04_2026_10_30,22636.8,24087.7,1299.25,11511.6,30567.8,
06_04_2026_10_35,22661,24120.5,1301.95,11512.4,30578.2,
06_04_2026_10_40,22653.5,24111.1,1302.7,11511.5,30594.1,
06_04_2026_10_45,22657,24118.4,1305.4,11511.6,30629.6,
06_04_2026_10_50,22617.4,24101,1306.15,11482.8,30616.8,
06_04_2026_10_55,22635.8,24118.5,1304.15,11477.2,30659.2,
06_04_2026_11_00,22590.1,24064.9,1298.4,11457.3,30593.3,
06_04_2026_11_05,22588.6,24044.2,1298.65,11471.5,30607.4,
06_04_2026_11_10,22567.8,24017.1,1295.15,11467.8,30549.8,
06_04_2026_11_15,22611.9,24041.7,1295.95,11471.7,30606.7,
06_04_2026_11_20,22613.9,24023.3,1297.35,11469.5,30588.1,
06_04_2026_11_25,22629.3,24055.1,1298.95,11475.5,30585.2,
06_04_2026_11_30,22610.1,24028.2,1298.05,11476.3,30539.1,
06_04_2026_11_35,22618.8,24039.8,1298.2,11481.4,30556.2,
06_04_2026_11_40,22644.4,24081.7,1297,11492.5,30567.9,
06_04_2026_11_45,22645.7,24089.7,1297.3,11484.3,30586.8,
06_04_2026_11_50,22668.2,24142.9,1296.25,11494.2,30574.9,
06_04_2026_11_55,22676.4,24140.2,1297.4,11497.9,30592.1,
06_04_2026_12_00,22667.8,24130.5,1297.55,11496.8,30589.6,
06_04_2026_12_05,22673.6,24128.8,1298.5,11496.3,30607,
06_04_2026_12_10,22659.6,24107.9,1298.15,11508.2,30614.9,
06_04_2026_12_15,22660.2,24106.9,1299.05,11503.7,30605.9,
06_04_2026_12_20,22700.8,24149.5,1298.95,11528.5,30670.6,
06_04_2026_12_25,22713.4,24155.2,1301.25,11538.5,30686.1,
06_04_2026_12_30,22650.1,24101.6,1298.8,11498.8,30591.8,
06_04_2026_12_35,22667.7,24119.8,1298,11501.3,30584.6,
06_04_2026_12_40,22675.7,24145.4,1297.65,11511.1,30567.2,
06_04_2026_12_45,22757,24203.2,1299.65,11528.9,30647.6,
06_04_2026_12_50,22775.2,24208.6,1299.05,11536,30667.6,
06_04_2026_12_55,22802.4,24240,1300.85,11557,30697.2,
06_04_2026_13_00,22767.4,24188.8,1299.05,11526.8,30685.2,
06_04_2026_13_05,22806,24216.5,1300.2,11561,30698.8,
06_04_2026_13_10,22860.7,24256.7,1300.75,11573.2,30724.8,
06_04_2026_13_15,22864.2,24258.8,1301.65,11565.2,30722.3,
06_04_2026_13_20,22878.4,24272.4,1303.05,11565.4,30714.2,
06_04_2026_13_25,22860.2,24247.3,1301.45,11559.2,30674.6,
06_04_2026_13_30,22884.8,24266,1299.75,11568.8,30698.2,
06_04_2026_13_35,22863.4,24241.6,1299.9,11546,30664.1,
06_04_2026_13_40,22850.9,24221.8,1299.2,11530.7,30681.8,
06_04_2026_13_45,22843.8,24226,1299.4,11532,30653.4,
06_04_2026_13_50,22882.7,24268.3,1298.8,11552.1,30691.9,
06_04_2026_13_55,22862.8,24257.4,1298.1,11563.5,30644.9,
